NAME,INTERNAL REFERANCE,CATEGORY,TYPE,BARCODE,UOM,PURCHASE UOM,SALE PRICE,COST PRICE,WEIGHT,VOLUME
NAN NO.3 PRO BIO      2x6x400g,,All,Product,,Unit(s),Unit(s),,,,
NAN NO.3 PRO BIO        6x900g,,All,Product,,Unit(s),Unit(s),,,,
NAN NO.3 PRO BIO        1x900g,,All,Product,,Unit(s),Unit(s),,,,
NAN NO.3 PRO BIO        6x400g,,All,Product,,Unit(s),Unit(s),,,,
NAN NO.3 PRO BIO        1x400g,,All,Product,,Unit(s),Unit(s),,,,
TEX MINI                 1x24s,,All,Product,,Unit(s),Unit(s),,,,
SMARTIES MINI           24x17g,,All,Product,,Unit(s),Unit(s),,,,
TEX GIANT               24x62g,,All,Product,,Unit(s),Unit(s),,,,
BAR-ONE GIANT          24x100g,,All,Product,,Unit(s),Unit(s),,,,
NESTLE PEPPERMINT CRISP  1x40s,,All,Product,,Unit(s),Unit(s),,,,
CREMORA SACHETS         1x500g,,All,Product,,Unit(s),Unit(s),,,,
CREMORA SACHETS      8x12x125g,,All,Product,,Unit(s),Unit(s),,,,
NESTLE M/B MILO         36x42g,,All,Product,,Unit(s),Unit(s),,,,
NESTLE M/B MILKY BAR    36x42g,,All,Product,,Unit(s),Unit(s),,,,
NESTLE M/B M/BAR KRAKLE 36x42g,,All,Product,,Unit(s),Unit(s),,,,
NESTLE M/B SMARTIES MLK 36x42g,,All,Product,,Unit(s),Unit(s),,,,
SMARTIES MINI EGGS      40x85g,,All,Product,,Unit(s),Unit(s),,,,
NESTUM STA1 MAIZE       1x500g,,All,Product,,Unit(s),Unit(s),,,,
NESTLE HOT CHOCOLATE    1x25kg,,All,Product,,Unit(s),Unit(s),,,,
NESTLE VENDING SUGAR    1x25kg,,All,Product,,Unit(s),Unit(s),,,,
NESTLE NESCAFE CLASSIC   6x1kg,,All,Product,,Unit(s),Unit(s),,,,
NESTLE NESCAFE CUPS      2000s,,All,Product,,Unit(s),Unit(s),,,,
BUTCH BEEF&BOERWORS    12x420g,,All,Product,,Unit(s),Unit(s),,,,
BUTCH/EPOL BEEF&BOERWOR 6x820g,,All,Product,,Unit(s),Unit(s),,,,
BUTCH/EPOL BEEF&BOERWOR 1x820g,,All,Product,,Unit(s),Unit(s),,,,
BUTCH/EPOL CHICKEN      6x820g,,All,Product,,Unit(s),Unit(s),,,,
BUTCH/EPOL CHICKEN      1x820g,,All,Product,,Unit(s),Unit(s),,,,
PURINA ALPO CH/JEL LAMB12x385g,,All,Product,,Unit(s),Unit(s),,,,
PURINA ALPO CH/JEL LAMB 6x385g,,All,Product,,Unit(s),Unit(s),,,,
PURINA ALPO CH/JEL CHIC12x385g,,All,Product,,Unit(s),Unit(s),,,,
PURINA ALPO CH/JEL CHIC 6x385g,,All,Product,,Unit(s),Unit(s),,,,
PURINA ALPO CH/JELLY BF12x385g,,All,Product,,Unit(s),Unit(s),,,,
PURINA ALPO CH/JELLY BF 6x385g,,All,Product,,Unit(s),Unit(s),,,,
HUSKY CHUNKS GRVY BEEF 12x385g,,All,Product,,Unit(s),Unit(s),,,,
HUSKY CHUNKS GRVY BEEF  6x385g,,All,Product,,Unit(s),Unit(s),,,,
